# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	523
#@/user_id	540b0ff7-1ade-4512-91d8-b0ad3a28a375
a 	啊	c=3 d=1.76949 t=523
ba 	吧	c=2 d=0.817257 t=523
biàn gēng 	变更	c=3 d=1.06788 t=523
biān xiě 	编写	c=1 d=0.694197 t=523
biān yì hòu 	编译后	c=1 d=0.650509 t=523
bàn gōng 	办公	c=1 d=0.99005 t=523
bào 	报	c=1 d=0.489192 t=523
bào jǐng 	报警	c=0 d=0.0444858 t=523
bào jǐng le ma 	报警了吗	c=1 d=0.447088 t=523
bèi wàng lù 	备忘录	c=1 d=0.438235 t=523
bì xū 	必须	c=1 d=0.97531 t=523
bó 	博	c=1 d=0.960789 t=523
bù fen 	部分	c=1 d=0.856415 t=523
bù huí qù 	不回去	c=2 d=1.91353 t=523
bù jīng 	不经	c=1 d=0.726149 t=523
bù néng 	不能	c=1 d=0.491644 t=523
bù wěn dìng 	不稳定	c=1 d=0.697676 t=523
bù xíng 	不行	c=1 d=0.891366 t=523
bù xū yào 	不需要	c=1 d=0.442639 t=523
bú guò 	不过	c=1 d=0.516851 t=523
bú guò qù 	不过去	c=1 d=0.790571 t=523
bú huì 	不会	c=1 d=0.444858 t=523
bú jiù 	不就	c=2 d=0.992467 t=523
bú shì 	不是	c=3 d=1.53315 t=523
bú yòng 	不用	c=1 d=0.839457 t=523
bāng máng 	帮忙	c=1 d=0.932394 t=523
běn lái 	本来	c=1 d=0.341298 t=523
bǎ 	把	c=4 d=2.27005 t=523
bǎn běn 	版本	c=2 d=1.40204 t=523
bǐ jiào 	比较	c=1 d=0.909373 t=523
chéng le 	成了	c=1 d=0.878095 t=523
chéng yuán 	成员	c=1 d=0.421052 t=523
chóng 	重	c=1 d=0.546074 t=523
chóng xīn 	重新	c=2 d=1.3702 t=523
chī 	吃	c=2 d=1.92312 t=523
chī fàn 	吃饭	c=1 d=0.895834 t=523
chī le 	吃了	c=1 d=0.794534 t=523
chī wán fàn 	吃完饭	c=1 d=0.927743 t=523
chǎn chū 	产出	c=1 d=0.985112 t=523
chǔ lǐ 	处理	c=1 d=0.733447 t=523
cuō hé 	撮合	c=1 d=0.644036 t=523
cái 	才	c=1 d=0.628135 t=523
cè 	测	c=1 d=0.617773 t=523
cè le 	测了	c=1 d=0.701173 t=523
cè lüè 	策略	c=2 d=0.885363 t=523
cè lǔ é 	测卤鹅	c=3 d=1.2999 t=523
cè shì 	测试	c=8 d=4.19756 t=523
cóng 	从	c=2 d=1.33544 t=523
cún liàng 	存量	c=3 d=1.58153 t=523
cān shù 	参数	c=1 d=0.970446 t=523
cāng kù 	仓库	c=2 d=1.15559 t=523
de 	的	c=13 d=5.83685 t=523
de cāng kù 	的仓库	c=1 d=0.382893 t=523
de huà 	的话	c=1 d=0.396531 t=523
diàn nǎo 	电脑	c=5 d=3.66303 t=523
diǎn wèn tí 	点问题	c=1 d=0.83527 t=523
duì nèi 	对内	c=1 d=0.348192 t=523
dài mǎ 	代码	c=2 d=1.05678 t=523
dài mǎ kù 	代码库	c=1 d=0.980199 t=523
dàn shì 	但是	c=2 d=0.923172 t=523
dào 	到	c=3 d=1.81646 t=523
dú lì 	独立	c=1 d=0.637628 t=523
dān dú 	单独	c=1 d=0.355226 t=523
dāng qián 	当前	c=1 d=0.479505 t=523
dēng lù 	登录	c=5 d=3.89673 t=523
fàn lì 	范例	c=1 d=0.99005 t=523
fàng zhì 	放置	c=1 d=0.869358 t=523
fāng shì 	方式	c=1 d=0.680451 t=523
fāng àn 	方案	c=2 d=1.18654 t=523
fēn pèi 	分配	c=1 d=0.548812 t=523
fēn xiǎng 	分享	c=1 d=0.995012 t=523
fēn zhī 	分支	c=8 d=4.7952 t=523
fǎ 	法	c=1 d=0.995012 t=523
fǎng wèn 	访问	c=0 d=0.0465334 t=523
fǎng wèn le ma 	访问了吗	c=1 d=0.467666 t=523
fǔ zhù 	辅助	c=1 d=0.337902 t=523
guà gōu 	挂钩	c=0 d=0.0529935 t=523
guà gōu de 	挂钩的	c=1 d=0.532592 t=523
guò le ma 	过了吗	c=1 d=1 t=523
guò qù 	过去	c=1 d=0.927743 t=523
guǎn lǐ 	管理	c=1 d=0.677057 t=523
gù shōu 	固收	c=1 d=0.637628 t=523
gāng cái 	刚才	c=2 d=1.17596 t=523
gēng xīn 	更新	c=2 d=1.48669 t=523
gěi 	给	c=2 d=1.71732 t=523
gěi nín 	给您	c=1 d=0.83527 t=523
gěi nǐ 	给你	c=1 d=0.865022 t=523
gěi nǐ men 	给你们	c=1 d=0.965605 t=523
gěi tā 	给她	c=1 d=0.946485 t=523
gōng jù 	工具	c=1 d=0.339596 t=523
gōng néng 	功能	c=1 d=0.477114 t=523
gōng sī 	公司	c=1 d=0.985112 t=523
gōng zuò 	工作	c=1 d=0.540641 t=523
gū jì 	估计	c=1 d=0.522046 t=523
gǎi 	改	c=1 d=0.400517 t=523
gǎi chéng 	改成	c=1 d=0.425283 t=523
gǎo 	搞	c=1 d=0.585669 t=523
huà 	话	c=1 d=0.960789 t=523
huì 	会	c=1 d=0.778801 t=523
huí 	回	c=3 d=0.965605 t=523
huí guī 	回归	c=1 d=0.802519 t=523
huò zhě 	或者	c=2 d=1.36815 t=523
hái méi 	还没	c=2 d=1.09191 t=523
hái shì 	还是	c=3 d=1.17336 t=523
hái zài 	还在	c=1 d=0.472367 t=523
hé 	和	c=1 d=0.559017 t=523
hé bìng 	合并	c=2 d=1.17745 t=523
hé lèi xíng 	和类型	c=1 d=0.371577 t=523
hòu tái 	后台	c=1 d=0.759572 t=523
hòu xù 	后续	c=1 d=0.615697 t=523
hóng bó 	宏博	c=1 d=0.486752 t=523
hǎo 	好	c=1 d=0.45612 t=523
hǎo de 	好的	c=1 d=0.453845 t=523
hǎo le 	好了	c=1 d=0.574072 t=523
jià gòu 	架构	c=1 d=0.904837 t=523
jiàn yì 	建议	c=1 d=0.744532 t=523
jié tú 	截图	c=1 d=0.927743 t=523
jiù 	就	c=2 d=0.792125 t=523
jiù shì 	就是	c=1 d=0.965605 t=523
jiā 	加	c=1 d=0.392586 t=523
jiā bān le 	加班了	c=1 d=0.814647 t=523
jiāo fù 	交付	c=1 d=0.647265 t=523
jiě xī 	解析	c=1 d=0.951229 t=523
jiǎn dān 	简单	c=1 d=0.860708 t=523
jì huà 	计划	c=1 d=0.360595 t=523
jìn xíng 	进行	c=3 d=2.11856 t=523
jìng zhǐ 	静止	c=1 d=0.860708 t=523
jī chǔ 	基础	c=1 d=0.900325 t=523
